Feature,CompGroup(C),BaseGroup(B),NumSamplesInC,NumSamplesInB,SignedFC,Tstatistic,Parameter,Pvalue,95%Conf.Int.1,95%Conf.Int.2,MeanC,MeanB,NullValue-DifferenceInMeans,Alternative,Method,FDR
X3051395_SEC61G,Relapse,RelapseFree,20,20,1.07129774277378,0.455286724857505,37.6466011384187,0.651518014278978,-0.342570401471793,0.541289401471793,10.4128585,10.313499,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3435752_C12orf65,Relapse,RelapseFree,20,20,1.0250551274957,0.455266787604775,37.5949595077929,0.651535802876251,-0.123105357745985,0.194508357745985,4.3936955,4.357994,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2786578_NDUFC1,Relapse,RelapseFree,20,20,1.07803274478296,0.455405970486385,35.8307013381388,0.65156500732058,-0.374428620934969,0.591230620934968,7.585794,7.477393,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2776372_WDFY3,Relapse,RelapseFree,20,20,1.04741124590955,0.455189990501295,37.8084060495548,0.651575827000955,-0.230429701635778,0.364085701635779,4.9813045,4.9144765,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2404254_PUM1,Relapse,RelapseFree,20,20,1.06467307815474,0.455387334089873,34.8737414648747,0.651653344059241,-0.312689929662584,0.493510929662584,7.152751,7.0623405,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3406195_C12orf60,Relapse,RelapseFree,20,20,1.02968210416709,0.45527418711644,35.7509988987057,0.651664995721127,-0.1458288813422,0.2302268813422,1.88054,1.838341,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2821413_LNPEP,Relapse,RelapseFree,20,20,-1.04304832481399,-0.455024568942858,37.2338212398773,0.651733744100285,-0.331513466139469,0.209901466139468,4.479041,4.539847,0,two.sided,Welch Two Sample t-test,0.998325515159334
X2698844_ATR,Relapse,RelapseFree,20,20,-1.09333650556741,-0.455021379238827,37.034355698505,0.651750188295098,-0.70198261850714,0.44450761850714,5.3339115,5.462649,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3907524_PLTP,Relapse,RelapseFree,20,20,-1.06290414693843,-0.455379405685807,33.0889543640616,0.651810521181563,-0.481183557388213,0.305160557388214,5.057622,5.1456335,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3568080_WDR89,Relapse,RelapseFree,20,20,-1.07327107339411,-0.455008201252884,36.291609183751,0.651813709998321,-0.556593750572388,0.352564750572387,5.174163,5.2761775,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3757288_HAP1,Relapse,RelapseFree,20,20,-1.02437468096033,-0.455206710687715,34.1823874924778,0.651838804613901,-0.189823403673435,0.120336403673434,4.379525,4.4142685,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3163200_C9orf93,Relapse,RelapseFree,20,20,1.04944641199129,0.455319013260667,33.1968071264087,0.65184389893732,-0.241424512612036,0.380681512612036,3.6721555,3.602527,0,two.sided,Welch Two Sample t-test,0.998325515159334
X3708582_SPEM1,Relapse,RelapseFree,20,20,-1.04258138040479,-0.455429981247992,32.2979533856982,0.651847012098573,-0.329131290054552,0.208811290054552,3.4356865,3.4958465,0,two.sided,Welch Two Sample t-test,0.998325515159334
