"","CompGroup.C.","BaseGroup.B.","NumSamplesInC","NumSamplesInB","SignedFC","Tstatistic","Parameter","Pvalue","X95.Conf.Int.1","X95.Conf.Int.2","MeanC","MeanB","NullValue.DifferenceInMeans","Alternative","Method","FDR"
"X2688605_GCET2","Relapse","RelapseFree",20,20,1.494986027,3.399528749,36.51312425,0.001646366,0.234205117,0.926058883,5.421139,4.841007,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3900833_FOXA2","Relapse","RelapseFree",20,20,1.172986574,3.390981017,34.36904718,0.001764805,0.092288264,0.368084736,5.648398,5.4182115,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2947948_SUMO2","Relapse","RelapseFree",20,20,-1.421489557,-3.5093508,23.62145643,0.001831068,-0.806067905,-0.208739095,1.150113,1.6575165,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3454006_FMNL3","Relapse","RelapseFree",20,20,-1.18927306,-3.322626765,35.62668702,0.00207066,-0.402781577,-0.097378423,4.3990925,4.6491725,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2732508_CXCL13","Relapse","RelapseFree",20,20,-1.37485455,-3.293065306,37.33421799,0.002174132,-0.741783731,-0.176774269,2.0264575,2.4857365,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2704143_WDR49","Relapse","RelapseFree",20,20,-1.146217637,-3.370558515,28.11770247,0.002195468,-0.316509958,-0.077252042,2.1220345,2.3189155,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2523855_CTLA4","Relapse","RelapseFree",20,20,-1.272294366,-3.345228232,30.06466587,0.002217045,-0.559522015,-0.135342985,3.7267655,4.074198,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3922793_PDE9A","Relapse","RelapseFree",20,20,1.629388917,3.398131411,23.26232863,0.002442049,0.275827547,1.132834453,5.784557,5.080226,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3531163_COCH","Relapse","RelapseFree",20,20,-1.224323238,-3.3073704,29.64988449,0.002474513,-0.472371709,-0.111597291,3.276142,3.5681265,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3104489_STMN2","Relapse","RelapseFree",20,20,1.667780586,3.265057218,33.33960366,0.00253446,0.278290354,1.197568646,4.988611,4.2506815,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3318890_ILK","Relapse","RelapseFree",20,20,1.511059008,3.214323275,37.52854483,0.002687795,0.220319032,0.970800968,7.124708,6.529148,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3029434_OR2F2","Relapse","RelapseFree",20,20,-1.297055309,-3.225653854,34.77344633,0.00273652,-0.611457272,-0.139022728,2.9946305,3.3698705,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2840238_C5orf58","Relapse","RelapseFree",20,20,-1.209648173,-3.26076325,30.22155588,0.002752481,-0.44651355,-0.10266145,3.365211,3.6397985,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2783099_TRAM1L1","Relapse","RelapseFree",20,20,-1.25926551,-3.208496633,34.4735059,0.002881329,-0.543131941,-0.122033059,3.6092005,3.941783,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2875348_IRF1","Relapse","RelapseFree",20,20,-1.346409256,-3.221813434,32.44464878,0.00289658,-0.700272725,-0.157961275,5.1149195,5.5440365,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3656800_ZNF646","Relapse","RelapseFree",20,20,1.160242201,3.17343466,37.34739521,0.003012064,0.077561051,0.351290949,5.0429715,4.8285455,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2453881_IRF6","Relapse","RelapseFree",20,20,1.400319953,3.167512634,36.84525903,0.003085396,0.174984036,0.796528964,5.847209,5.3614525,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3358897_KRTAP5.2","Relapse","RelapseFree",20,20,1.524201352,3.180002432,34.14507849,0.003127579,0.219525488,0.996581512,5.788091,5.1800375,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2523874_ICOS","Relapse","RelapseFree",20,20,-1.320395841,-3.150048224,37.91923087,0.003180382,-0.658674213,-0.143266787,2.6541975,3.055168,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2434746_FAM63A","Relapse","RelapseFree",20,20,1.240154187,3.14653936,37.97882283,0.003207818,0.110736404,0.510302596,5.144956,4.8344365,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3872560_ZNF256","Relapse","RelapseFree",20,20,-1.336559441,-3.15192349,34.30415524,0.003359381,-0.688284803,-0.148763197,4.3062585,4.7247825,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3843275_ZNF419","Relapse","RelapseFree",20,20,-1.239910082,-3.138091106,36.22405867,0.003372753,-0.510692285,-0.109778715,3.2381435,3.548379,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2717091_CNO","Relapse","RelapseFree",20,20,-1.158126625,-3.126773243,37.53853348,0.003406006,-0.348971374,-0.074614626,4.197115,4.408908,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3487824_SERP2","Relapse","RelapseFree",20,20,1.182717896,3.113912861,37.84254395,0.003509991,0.084688316,0.399523684,4.1673535,3.9252475,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3108526_MATN2","Relapse","RelapseFree",20,20,1.66021145,3.112598099,36.36357337,0.003602332,0.25499125,1.20774275,5.6601175,4.9287505,0,"two.sided","Welch Two Sample t-test",0.998325515
