"","CompGroup.C.","BaseGroup.B.","NumSamplesInC","NumSamplesInB","SignedFC","Tstatistic","Parameter","Pvalue","X95.Conf.Int.1","X95.Conf.Int.2","MeanC","MeanB","NullValue.DifferenceInMeans","Alternative","Method","FDR"
"X3413787_TUBA1C","Relapse","RelapseFree",20,20,-1.281497798,-2.979707297,37.86627801,0.005016258,-0.600967299,-0.114694701,8.708113,9.065944,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2373842_PTPRC","Relapse","RelapseFree",20,20,-1.404396689,-3.033941182,28.69883298,0.005084607,-0.820384807,-0.159516193,3.705397,4.1953475,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3056320_WBSCR27","Relapse","RelapseFree",20,20,1.173207745,2.970485473,37.74270575,0.005147651,0.073365219,0.387551781,5.5813465,5.350888,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2652669_","Relapse","RelapseFree",20,20,-1.245411495,-3.052080901,26.23649742,0.005152854,-0.529769361,-0.103475639,1.5634775,1.8801,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3201199_IFNA7","Relapse","RelapseFree",20,20,-1.490360662,-3.02632847,28.68763091,0.005183488,-0.964884639,-0.186438361,2.099023,2.6746845,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3912079_SYCP2","Relapse","RelapseFree",20,20,-1.377180826,-3.099054588,22.28618048,0.005183858,-0.770467681,-0.152968319,1.8152535,2.2769715,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2737596_BANK1","Relapse","RelapseFree",20,20,-1.184434156,-2.962310096,37.81184566,0.005254893,-0.411106185,-0.077289815,2.9808835,3.2250815,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3555590_OR6S1","Relapse","RelapseFree",20,20,1.315694921,2.968451347,36.11244649,0.00528776,0.12542019,0.66622981,3.9149135,3.5190885,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2773972_CXCL11","Relapse","RelapseFree",20,20,-3.15167659,-2.974104847,34.93789905,0.005297968,-2.786649572,-0.525589428,3.414684,5.0708035,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3598758_SMAD6","Relapse","RelapseFree",20,20,-1.15089722,-2.962089508,36.82518352,0.005325081,-0.34147682,-0.06404118,4.4145105,4.6172695,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3841231_PRPF31","Relapse","RelapseFree",20,20,-1.189792921,-2.955630778,37.9778687,0.005336863,-0.422432418,-0.078988582,5.336598,5.5873085,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3373383_OR5T2","Relapse","RelapseFree",20,20,1.351545424,2.943798318,36.47364633,0.005611139,0.135325684,0.733894316,2.5182975,2.0836875,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2439554_AIM2","Relapse","RelapseFree",20,20,-1.58109494,-3.034011985,24.63321637,0.005620334,-1.109909338,-0.211938662,2.896731,3.557655,0,"two.sided","Welch Two Sample t-test",0.998325515
"X2731381_CXCL1","Relapse","RelapseFree",20,20,-1.737302526,-2.920355393,37.73447561,0.00587066,-1.349353437,-0.244344563,8.366394,9.163243,0,"two.sided","Welch Two Sample t-test",0.998325515
"X3955070_GSTTP1","Relapse","RelapseFree",20,20,1.263572549,2.919869817,37.78815191,0.005874304,0.103465172,0.571551828,6.079554,5.7420455,0,"two.sided","Welch Two Sample t-test",0.998325515
