Feature,CompGroup.C.,BaseGroup.B.,NumSamplesInC,NumSamplesInB,SignedFC,Tstatistic,Parameter,Pvalue,X95.Conf.Int.1,X95.Conf.Int.2,MeanC,MeanB,NullValue.DifferenceInMeans,Alternative,Method,FDR
X3189837_ZNF79,Relapse,RelapseFree,20,20,-1.148783553,-2.586719274,36.97418224,0.013760508,-0.356855688,-0.043358312,4.130615,4.330722,0,two.sided,Welch Two Sample t-test,0.998325515
X2723924_PTTG2,Relapse,RelapseFree,20,20,-1.276861017,-2.586299083,36.95446844,0.013776987,-0.628852696,-0.076350304,1.5996295,1.952231,0,two.sided,Welch Two Sample t-test,0.998325515
X3719515_DUSP14,Relapse,RelapseFree,20,20,-1.159398079,-2.60637857,31.95715029,0.013784841,-0.380142083,-0.046609917,4.0135375,4.2269135,0,two.sided,Welch Two Sample t-test,0.998325515
X2899473_BTN1A1,Relapse,RelapseFree,20,20,-1.174545417,-2.603301258,32.12664282,0.013860423,-0.41368127,-0.05052373,3.011405,3.2435075,0,two.sided,Welch Two Sample t-test,0.998325515
X3819076_RETN,Relapse,RelapseFree,20,20,1.217985957,2.588803691,35.19262601,0.013910498,0.061441713,0.507553287,5.4486195,5.164122,0,two.sided,Welch Two Sample t-test,0.998325515
X2402645_AIM1L,Relapse,RelapseFree,20,20,1.148902205,2.602554879,31.03246226,0.014061727,0.043330399,0.357181601,5.009559,4.809303,0,two.sided,Welch Two Sample t-test,0.998325515
X3399456_IGSF9B,Relapse,RelapseFree,20,20,-1.262787163,-2.574575017,37.79958149,0.014079032,-0.601335978,-0.071887022,3.45934,3.7959515,0,two.sided,Welch Two Sample t-test,0.998325515
X2878273_HBEGF,Relapse,RelapseFree,20,20,1.319967584,2.614031114,28.51246393,0.014137543,0.086914649,0.714090351,6.383081,5.9825785,0,two.sided,Welch Two Sample t-test,0.998325515
X2402416_C1orf135,Relapse,RelapseFree,20,20,-1.178772248,-2.572162813,37.9270286,0.014147975,-0.424049508,-0.050520492,4.6587155,4.8960005,0,two.sided,Welch Two Sample t-test,0.998325515
X4001369_SCML2,Relapse,RelapseFree,20,20,-1.219499782,-2.580317194,33.33084743,0.014459419,-0.51193649,-0.06064251,2.9983165,3.284606,0,two.sided,Welch Two Sample t-test,0.998325515
X3105979_CNBD1,Relapse,RelapseFree,20,20,-1.158555775,-2.586704474,31.73943223,0.014484549,-0.379581341,-0.045073659,1.6037985,1.816126,0,two.sided,Welch Two Sample t-test,0.998325515
X2952834_KCNK5,Relapse,RelapseFree,20,20,1.159116439,2.560852538,37.74215971,0.014566447,0.044587707,0.381463293,5.116258,4.9032325,0,two.sided,Welch Two Sample t-test,0.998325515
X2619265_VIPR1,Relapse,RelapseFree,20,20,1.143191425,2.567168395,34.95399051,0.014691736,0.040383097,0.345750903,5.864332,5.671265,0,two.sided,Welch Two Sample t-test,0.998325515
X2666147_THRB,Relapse,RelapseFree,20,20,1.401044229,2.565990545,34.69932047,0.014768446,0.101482138,0.871522862,4.882061,4.3955585,0,two.sided,Welch Two Sample t-test,0.998325515
X3770029_CDC42EP4,Relapse,RelapseFree,20,20,1.10163057,2.55926952,35.54614055,0.014895063,0.028933258,0.250347742,6.007002,5.8673615,0,two.sided,Welch Two Sample t-test,0.998325515
X3894365_C20orf54,Relapse,RelapseFree,20,20,1.198384193,2.550221596,37.08969324,0.015027439,0.05366679,0.46851421,4.659609,4.3985185,0,two.sided,Welch Two Sample t-test,0.998325515
X3020192_TES,Relapse,RelapseFree,20,20,1.593148777,2.549035047,37.41050192,0.015032,0.138009891,1.205752109,8.081288,7.409407,0,two.sided,Welch Two Sample t-test,0.998325515
X3590275_CHAC1,Relapse,RelapseFree,20,20,1.228284703,2.553487254,35.2247324,0.015147934,0.060856061,0.532433939,4.380281,4.083636,0,two.sided,Welch Two Sample t-test,0.998325515
X3798778_FAM38B,Relapse,RelapseFree,20,20,-1.232602823,-2.551761817,35.03418999,0.015237156,-0.541729789,-0.061686211,3.2358025,3.5375105,0,two.sided,Welch Two Sample t-test,0.998325515
X2941784_NEDD9,Relapse,RelapseFree,20,20,1.320900687,2.53631382,37.88839025,0.015446609,0.081010624,0.722033376,5.9037345,5.5022125,0,two.sided,Welch Two Sample t-test,0.998325515
X3822322_MRI1,Relapse,RelapseFree,20,20,-1.134272281,-2.550648232,33.82833874,0.015450249,-0.326618038,-0.036915962,4.250351,4.432118,0,two.sided,Welch Two Sample t-test,0.998325515
X2958325_DST,Relapse,RelapseFree,20,20,1.611507609,2.567120371,29.99353024,0.015484664,0.140740717,1.236081283,6.8556625,6.1672515,0,two.sided,Welch Two Sample t-test,0.998325515
X3696317_SMPD3,Relapse,RelapseFree,20,20,1.121382142,2.532859487,37.99779323,0.015563887,0.033178901,0.297377099,4.6129545,4.4476765,0,two.sided,Welch Two Sample t-test,0.998325515
X3230397_LCN6,Relapse,RelapseFree,20,20,1.145346007,2.533966392,37.63052975,0.015565917,0.039320964,0.352246036,5.002283,4.8064995,0,two.sided,Welch Two Sample t-test,0.998325515
X3987166_TDGF3,Relapse,RelapseFree,20,20,-1.307195117,-2.550457767,32.83426755,0.015609333,-0.694826629,-0.078122371,3.021743,3.4082175,0,two.sided,Welch Two Sample t-test,0.998325515
X3330927_OR5T1,Relapse,RelapseFree,20,20,-1.203186262,-2.557785946,31.12997097,0.015621074,-0.479611373,-0.054108627,1.5367485,1.8036085,0,two.sided,Welch Two Sample t-test,0.998325515
