LOC150197
UBD
SAMSN1
TMEM81
PARP15
THNSL2
TFEC
LBR
F13A1
GJD2
IFIT5
IL18R1
TNIP3
IRAK3
DUSP22
ALG1L
CXCL10
IL11RA
LOC643008
C9orf40
CYP8B1
GBP4
GCET2
FOXA2
SUMO2
FMNL3
CXCL13
WDR49
CTLA4
PDE9A
COCH
STMN2
ILK
OR2F2
C5orf58
TRAM1L1
IRF1
ZNF646
IRF6
KRTAP5.2
ICOS
FAM63A
ZNF256
ZNF419
CNO
SERP2
MATN2
FLJ42200
ZNF233
LOC388152
SFRS13B
C16orf62
ZNF677
DOPEY2
PCOLCE2
LPAL2
DHRS12
DDX4
MOAP1
SLCO4C1
FHL5
CCDC102B
DNHD1
ACOX2
GPR19
PAFAH2
TMSB4Y
GRIN3A
GKN1
CDA
NCRNA00116
FAIM2
AQP3
FUNDC2
CXCL3
RGS18
TUBA1C
PTPRC
WBSCR27
IFNA7
SYCP2
BANK1
OR6S1
CXCL11
SMAD6
PRPF31
OR5T2
AIM2
CXCL1
GSTTP1
APCDD1L
ZNF668
GC
GPR171
SAMD9L
MGC34034
DNASE1L1
LOC100131642
RNF213
RNF133
SIDT1
ST3GAL4
BBS5
EVI2A
KIRREL3
RSPH3
TBC1D3P2
TBX6
BEND6
PCSK9
LCP2
UPK3A
EMCN
PIK3IP1
OR5AU1
IL10RB
SH3GL1P1
CMTM2
MMP12
KIAA0430
MNDA
CEACAM19
TNFSF11
DSC3
ABHD2
C2orf73
LOC100131131
TMEM70
CCNJ
MZF1
PPM1L
TRAPPC6A
BIN2
THOP1
SPIC
SLC39A13
RGSL1
FAM46D
ARHGAP28
CRY2
